date,city,cases
2022-07-01,Sichuan_lu-zhou-shi,0.0
2022-07-02,Sichuan_lu-zhou-shi,0.0
2022-07-03,Sichuan_lu-zhou-shi,0.0
2022-07-04,Sichuan_lu-zhou-shi,0.0
2022-07-05,Sichuan_lu-zhou-shi,0.0
2022-07-06,Sichuan_lu-zhou-shi,0.0
2022-07-07,Sichuan_lu-zhou-shi,0.0
2022-07-08,Sichuan_lu-zhou-shi,0.0
2022-07-09,Sichuan_lu-zhou-shi,0.0
2022-07-10,Sichuan_lu-zhou-shi,0.0
2022-07-11,Sichuan_lu-zhou-shi,0.0
2022-07-12,Sichuan_lu-zhou-shi,0.0
2022-07-13,Sichuan_lu-zhou-shi,0.0
2022-07-14,Sichuan_lu-zhou-shi,0.0
2022-07-15,Sichuan_lu-zhou-shi,0.0
2022-07-16,Sichuan_lu-zhou-shi,0.0
2022-07-17,Sichuan_lu-zhou-shi,0.0
2022-07-18,Sichuan_lu-zhou-shi,0.0
2022-07-19,Sichuan_lu-zhou-shi,0.0
2022-07-20,Sichuan_lu-zhou-shi,0.0
2022-07-21,Sichuan_lu-zhou-shi,0.0
2022-07-22,Sichuan_lu-zhou-shi,0.0
2022-07-23,Sichuan_lu-zhou-shi,0.0
2022-07-24,Sichuan_lu-zhou-shi,0.0
2022-07-25,Sichuan_lu-zhou-shi,0.0
2022-07-26,Sichuan_lu-zhou-shi,0.0
2022-07-27,Sichuan_lu-zhou-shi,0.0
2022-07-28,Sichuan_lu-zhou-shi,0.0
2022-07-29,Sichuan_lu-zhou-shi,0.0
2022-07-30,Sichuan_lu-zhou-shi,0.0
2022-07-31,Sichuan_lu-zhou-shi,0.0
2022-08-01,Sichuan_lu-zhou-shi,0.0
2022-08-02,Sichuan_lu-zhou-shi,0.0
2022-08-03,Sichuan_lu-zhou-shi,0.0
2022-08-04,Sichuan_lu-zhou-shi,0.0
2022-08-05,Sichuan_lu-zhou-shi,0.0
2022-08-06,Sichuan_lu-zhou-shi,0.0
2022-08-07,Sichuan_lu-zhou-shi,0.0
2022-08-08,Sichuan_lu-zhou-shi,0.0
2022-08-09,Sichuan_lu-zhou-shi,0.0
2022-08-10,Sichuan_lu-zhou-shi,0.0
2022-08-11,Sichuan_lu-zhou-shi,0.0
2022-08-12,Sichuan_lu-zhou-shi,0.0
2022-08-13,Sichuan_lu-zhou-shi,0.0
2022-08-14,Sichuan_lu-zhou-shi,0.0
2022-08-15,Sichuan_lu-zhou-shi,0.0
